xa,ya,za,xg,yg,zg
-0.101517245,-7.8972764,0.45778534,-0.2403235435485839,0.1781179159879684,0.1013853102922439
0.02681588,-8.096479,0.099601835,-0.2898036539554596,0.1298595666885376,0.0989418402314186
-0.12067145,-8.385708,-0.3754223,-0.3600531220436096,0.0681621804833412,0.0671768486499786
-0.5363175,-8.211405,-1.0975356,-0.4419090747833252,0.0437275655567646,0.0060903262346982
-0.65890443,-7.8704605,-1.5150971,-0.5561408400535583,0.0278450697660446,-0.0488875471055507
-0.30455175,-7.8532214,-1.0304959,-0.7418439388275146,0.0003561344346962,-0.0745438858866691
-0.46736246,-7.943247,-1.0879585,-1.000850796699524,0.0150169003754854,-0.0568287931382656
-1.1856449,-7.6214557,-2.020768,-1.2714641094207764,-0.2165010273456573,-0.0653809085488319
0.074701376,-8.220983,-0.43096948,-1.5261949300765991,-0.3148503303527832,-0.0525527372956275
0.46544707,-9.027373,-0.9213169,-1.5823944807052612,-0.5323183536529541,-0.109363205730915
-0.23368123,-8.728568,0.6876357,-1.5323035717010498,-0.608065664768219,-0.2987314462661743
-0.39074564,-8.228643,0.6761432,-1.4834343194961548,-0.5854636430740356,-0.4587781429290771
0.10726352,-8.238221,-0.5593026,-1.2415317296981812,-0.7894926071166992,-0.4361761212348938
0.2988055,-8.544687,-0.52482504,-0.7919348478317261,-0.5646942257881165,-0.3818091154098511
-0.40606898,-7.6578484,-0.8830086,-0.3490575551986694,-0.3551674485206604,-0.4007459282875061
-0.85427725,-6.8897653,-1.1032817,-0.0729464739561081,-0.3857106864452362,-0.4282348752021789
-1.1243514,-6.4664574,-1.3312168,0.1530736684799194,-0.3032439053058624,-0.4337326288223266
-1.112859,-5.916732,-1.4289032,0.3949763178825378,-0.1340342313051223,-0.4410630166530609
-1.1511673,-5.5662103,-1.0898739,0.5709055066108704,0.0681621804833412,-0.4160175621509552
-0.88875484,-4.968599,-1.4384804,0.6490962505340576,0.190335214138031,-0.3671483397483825
