x,y,z,canc,data,ora
"-0.5286559,3.8748944,6.6005373 - 2021-09-09 19:52:03.541"
"-0.47119328,3.6373823,7.0046906 - 2021-09-09 19:52:03.561"
"-0.44246197,3.545442,6.9931974 - 2021-09-09 19:52:03.583"
"-0.57462597,3.463079,7.3322277 - 2021-09-09 19:52:03.601"
"-0.5497255,3.351985,7.062153 - 2021-09-09 19:52:03.622"
"-0.5631334,3.4860642,6.47795 - 2021-09-09 19:52:03.644"
"-0.6703969,3.576089,6.543074 - 2021-09-09 19:52:03.661"
"-0.64166564,3.545442,6.3649406 - 2021-09-09 19:52:03.681"
"-0.5803722,3.6890988,6.259592 - 2021-09-09 19:52:03.704"
"-0.7948992,3.7159147,6.61586 - 2021-09-09 19:52:03.721"
"-0.88492393,3.7063375,6.830387 - 2021-09-09 19:52:03.743"
"-0.9979338,3.7810388,7.2862573 - 2021-09-09 19:52:03.763"
"-1.1032817,3.8097703,7.150263 - 2021-09-09 19:52:03.781"
"-1.063058,4.0128045,7.1100388 - 2021-09-09 19:52:03.803"
"-0.79873013,3.8825562,6.9989443 - 2021-09-09 19:52:03.823"
"-0.70679,3.9515111,6.88785 - 2021-09-09 19:52:03.842"
"-0.7968147,4.0664363,6.5967054 - 2021-09-09 19:52:03.862"
"-0.9577099,4.06069,6.74994 - 2021-09-09 19:52:03.884"
"-1.0362421,3.9495957,6.6350145 - 2021-09-09 19:52:03.902"
"-0.9519637,3.8423321,6.3611093 - 2021-09-09 19:52:03.922"
"-1.2201225,3.8902178,6.4511337 - 2021-09-09 19:52:03.944"
"-1.2814158,3.8097703,6.8150635 - 2021-09-09 19:52:03.962"
"-1.2814158,3.6507905,7.2153864 - 2021-09-09 19:52:03.983"
"-1.0707197,3.3500695,7.194317 - 2021-09-09 19:52:04.005"
"-0.9538791,3.2772837,7.2153864 - 2021-09-09 19:52:04.023"
"-0.8906702,3.4898949,7.2211328 - 2021-09-09 19:52:04.043"
"-0.8753469,3.675691,6.3802633 - 2021-09-09 19:52:04.064"
"-0.5439792,3.6718597,6.0374036 - 2021-09-09 19:52:04.082"
"-0.34669098,3.6488748,6.163821 - 2021-09-09 19:52:04.102"
"-0.50758624,3.777208,7.0410833 - 2021-09-09 19:52:04.124"
"-0.5171634,4.3077793,7.1100388 - 2021-09-09 19:52:04.142"
"-0.23751207,4.045367,6.885935 - 2021-09-09 19:52:04.162"
"-0.2796513,4.007058,6.7078004 - 2021-09-09 19:52:04.184"
"-0.25283542,4.054944,7.094715 - 2021-09-09 19:52:04.207"
"-0.44246197,4.100914,6.9797897 - 2021-09-09 19:52:04.233"
"-0.5497255,4.093252,6.989367 - 2021-09-09 19:52:04.244"
"-0.45203912,3.9400187,7.087054 - 2021-09-09 19:52:04.261"
"-0.5171634,3.9151182,6.8169794 - 2021-09-09 19:52:04.281"
"-0.3007209,3.7963624,6.527751 - 2021-09-09 19:52:04.304"
"-0.11300978,3.6124818,6.6005373 - 2021-09-09 19:52:04.321"
"-0.28731298,3.6048203,6.95489 - 2021-09-09 19:52:04.342"
"-0.36392978,3.7446458,6.709716 - 2021-09-09 19:52:04.364"
"-0.4558699,3.807855,6.748024 - 2021-09-09 19:52:04.381"
"-0.3677606,3.7638001,6.836134 - 2021-09-09 19:52:04.401"
