xa,ya,za,xg,yg,zg
-1.3524548,0.40665054,1.5962255,0.10426683,0.35895494,0.5635081
-1.3876272,0.93407726,1.5147033,0.07338183,0.38238493,0.49321815
-1.5946034,1.1424665,1.6928467,0.04782183,0.37492993,0.43357816
-1.9024751,0.9035177,1.8295529,0.030781828,0.31102994,0.39417315
-1.9305466,0.24463177,1.8780835,0.04462683,0.22263493,0.35050815
-1.7479091,-0.45063686,1.9039778,0.08190183,0.16831993,0.29512814
-1.57402,-1.0052538,1.8762364,0.15538684,0.15660492,0.24507312
-1.6080489,-1.545968,1.2346954,0.29703182,0.17257991,0.20140813
-1.9985709,-2.031633,0.23391604,0.48660183,0.20346493,0.15454814
-2.390815,-2.3232927,-0.5565985,0.6878868,0.28866494,0.07999814
-2.5173626,-1.6230049,-1.0932293,0.9339018,0.39622992,-0.015851859
-2.0139391,0.072374344,-1.8405372,1.1735269,0.48462492,-0.113831855
-1.2189512,1.2580242,-3.9957323,1.2693769,0.58686495,-0.21287687
-0.20995854,2.2784834,-6.792772,1.2033468,0.77856493,-0.35239184
1.0841156,4.627986,-7.342027,1.0670269,0.91594994,-0.5419619
1.8581024,8.37133,-5.37044,0.8731968,0.66673994,-0.6282269
2.1735466,10.59815,-4.189671,0.46530184,0.18535993,-0.49403685
3.6939614,8.651007,-4.4979124,-0.08317317,-0.13520508,-0.34280685
4.839982,5.5072184,-4.480736,-0.49213317,-0.24064007,-0.13193686
5.8249774,2.5149364,-3.799944,-0.5592282,-0.22573008,0.034203142
5.80592,0.11461735,-2.4349833,-0.31853816,-0.14798509,0.124728136
4.239919,-1.5109024,-0.8864888,0.08403183,-0.08408508,0.13218313
1.7990671,-2.2225718,0.025136828,0.48873183,-0.057460077,0.16306813
-0.5459865,-2.407237,0.27049792,0.7997118,-0.064915076,0.23335813
-2.6842747,-2.2129211,0.14782977,0.9754368,-0.11177508,0.30471316
-4.1303754,-1.556385,-0.08878529,1.0297519,-0.18739007,0.33985814
-4.779129,-0.38556767,-0.23082674,0.9978018,-0.27685007,0.36115816
-4.3486576,1.3157072,-0.26350093,0.8785218,-0.41636506,0.41547316
-3.0253472,3.2383394,-0.4035914,0.6133368,-0.6293651,0.5326231
-1.1673622,4.503895,-0.9467964,0.20970184,-0.8743151,0.6455131
0.55390424,4.627775,-1.6717923,-0.20990817,-1.0404551,0.70302314
