xa,ya,za,xg,yg,zg
0.01614,-0.6476,1.3973,-0.19005,0.76694,-0.25273
-0.10254,-0.20276,1.2315,-0.16867,0.9673,-0.2619
-0.47865,0.090996,0.61948,-0.15706,1.1151,-0.279
-0.97773,0.27084,-0.43763,-0.15339,1.1952,-0.29672
-1.7048,0.29497,-1.5495,-0.16622,1.2171,-0.3126
-2.5328,0.22036,-2.9061,-0.17966,1.175,-0.32482
-3.0517,0.34656,-4.597,-0.18638,1.1005,-0.33215
-2.9791,0.60675,-5.5355,-0.17111,0.99662,-0.34253
-2.8024,0.74635,-5.1356,-0.13324,0.80114,-0.34436
-2.3821,0.80707,-3.9421,-0.059932,0.66248,-0.34131
-1.5275,0.83786,-2.8846,0.0029871,0.53358,-0.32237
0.095975,0.93645,-1.6928,0.064685,0.36804,-0.29733
6.1806,0.9862,-2.2146,0.13127,0.25259,-0.26923
13.174,1.3517,-3.8309,0.21496,0.19455,-0.23502
19.86,2.6559,-1.8984,0.3127,0.19028,-0.2173
20.465,4.5076,5.7117,0.41105,0.23365,-0.22341
18.623,5.9564,8.8682,0.49229,0.32345,-0.25273
14.818,5.951,5.711,0.50145,0.47433,-0.28816
11.0,4.9492,1.8878,0.42998,0.65576,-0.31749
7.893,4.3218,0.74691,0.27849,0.80542,-0.3462
3.9433,3.2315,-0.73596,0.056743,0.91476,-0.36086
0.10817,1.9135,-2.422,-0.17661,0.96608,-0.33703
-2.9143,0.77076,-3.221,-0.40568,0.91721,-0.23929
-5.1074,-0.23214,-2.6651,-0.65247,0.60506,0.015437
-6.4113,-0.95522,-1.6741,-0.57367,0.22754,0.22496
-7.2231,-1.3571,-0.60745,-0.27373,-0.24649,0.45098
-7.6392,-1.5146,0.24548,0.086676,-0.80177,0.64096
-7.6203,-1.472,0.94801,0.34996,-1.3772,0.71671
-7.1577,-1.2433,1.5523,0.44464,-1.8097,0.65929
-6.412,-0.77437,1.85,0.49534,-2.1054,0.68983
-5.547,-0.16381,1.7821,0.52344,-2.2923,0.74725
-4.6456,0.37766,1.4436,0.55215,-2.2428,0.58904
-3.8123,0.70546,1.1163,0.79589,-1.3809,0.37463
-3.0708,0.75184,0.94301,0.81666,-0.040629,0.16204
-2.366,0.49657,0.79277,0.4251,1.0791,0.0062736
-1.7541,0.0094748,0.77856,-0.14973,1.7724,-0.098184
-1.1494,-0.56424,1.0398,-0.57306,2.3088,-0.31321
-0.68322,-1.0063,1.5445,-0.96951,2.4596,-0.48059
-0.30364,-1.109,2.0637,-1.1418,2.1053,-0.3914
-0.156,-0.86058,2.4527,-1.2139,1.5904,-0.25518
-0.29033,0.072097,2.6877,-1.1106,0.97463,-0.12934
-1.4563,0.59057,2.2361,-0.86811,0.38881,-0.03893
-2.2498,1.164,1.4739,-0.57245,-0.12065,0.00016493
-2.9329,1.8196,0.49379,-0.28168,-0.49939,0.014826
-3.5416,2.5304,-0.24468,-0.021447,-0.73518,0.011771
-4.2981,3.1391,-0.70238,0.23145,-0.87202,-0.0022785
-4.1739,3.9621,-1.2418,0.46786,-0.94837,-0.029157
-4.175,4.3102,-1.9058,0.67188,-0.97098,-0.060311
-4.2104,4.0171,-2.307,0.84293,-0.98747,-0.093297
-3.9821,3.2815,-2.3914,0.99015,-1.0095,-0.11895
-4.0745,2.0905,-2.1321,1.0897,-1.0143,-0.13239
-4.2144,0.91016,-1.5834,1.0922,-0.93432,-0.093908
-4.3248,-0.18593,-1.4518,1.003,-0.79566,-0.036487
-4.239,-1.0874,-1.5282,0.88202,-0.58369,0.03193
-3.7737,-1.6354,-2.2097,0.75741,-0.31369,0.093627
-2.9931,-1.9541,-3.0876,0.66394,-0.0015332,0.13578
-1.8929,-2.1037,-4.3185,0.62607,0.31795,0.17365
-0.58576,-2.052,-5.9985,0.64806,0.62521,0.21702
0.8672,-1.7427,-7.8957,0.70121,0.85795,0.25673
2.8865,-1.2554,-8.9111,0.76718,0.95875,0.29827
6.0463,-0.82032,-8.6665,0.80811,0.91476,0.32515
11.182,-0.13401,-6.7624,0.83132,0.77976,0.34408
19.23,0.6347,-3.354,0.83743,0.61178,0.36119
25.978,-0.5368,8.8925,0.80383,0.43585,0.35141
23.741,-4.1715,19.974,0.72931,0.27213,0.34469
15.248,-3.5011,10.533,0.5546,0.055277,0.32392
8.9155,-3.3863,5.8501,0.45991,-0.057733,0.31048
4.1208,-4.3152,2.5359,0.41715,-0.1292,0.28361
1.0037,-4.1925,2.8914,0.44281,-0.16341,0.24818
-2.2712,-0.59048,-1.0093,0.55154,-0.21961,0.21763
-3.6474,1.2731,-2.9283,0.71403,-0.3143,0.18892
-4.7331,2.7567,-4.3899,0.8918,-0.489,0.15471
-5.5122,3.5546,-5.0064,1.0274,-0.70953,0.10279
-5.388,4.0128,-4.1746,1.0164,-0.95876,0.04598
-4.5049,3.8978,-2.6056,0.75863,-1.3051,0.01788
-3.5577,3.3814,-0.61658,0.2791,-1.8182,0.048423
-2.5882,2.7614,1.1576,-0.28229,-2.3613,0.16876
-1.7406,2.1831,2.2969,-0.75571,-2.6973,0.35508
-1.0364,1.848,3.0858,-0.94569,-2.9404,0.47297
-0.694,1.6046,3.4884,-0.79053,-2.5922,0.29766
-0.62341,1.4357,3.8104,-0.15339,0.75716,0.21824
-0.81805,1.2147,3.8925,0.35179,1.3179,-0.023659
-1.2057,1.0663,3.7077,0.76229,1.5818,-0.24968
-1.6686,0.99223,3.3377,1.0806,1.5831,-0.26739
-2.2142,0.90658,2.7401,1.389,1.5873,-0.16782
-2.6038,0.70833,2.2365,1.6309,1.3045,-0.074971
-2.9118,0.4015,1.8313,1.6969,0.95325,-0.067641
-3.1616,-0.12861,1.5468,1.6578,0.42791,-0.067641
-3.3602,-0.71194,1.2691,1.4617,-0.15303,-0.057256
-3.4637,-1.4361,0.67233,1.116,-0.71075,-0.0077763
-3.4917,-2.1762,0.44452,0.7232,-1.1414,0.042925
-3.5851,-2.8563,0.29734,0.29926,-1.3247,0.075912
-3.6131,-3.5337,-0.12685,-0.10208,-1.307,0.11745
-3.6659,-3.9154,0.37591,-0.43745,-1.12,0.15044
-3.6799,-4.1058,-0.22054,-0.76121,-0.71441,0.15777
-3.7452,-3.936,-0.32597,-0.84184,-0.41998,0.12722
