xa,ya,za,xg,yg,zg
0.010834694,-0.017927572,0.019322872,0.0010445793,-0.00251678,-0.00039095618
-0.002292633,0.004922837,0.0060629845,0.0016554447,-0.0006841831,0.00021990947
-0.0034513474,0.01456511,0.0023884773,0.00226631,0.0017592758,0.0020525046
-0.010584831,0.014591709,0.023831844,0.002877175,-0.0006841831,0.0014416389
0.012228012,-0.0069186836,0.040447235,-0.00078801636,-0.0074037015,0.003274234
0.042230606,0.0026858747,0.054650784,-0.00017715106,-0.004960239,0.0014416389
0.041119576,0.0027072132,0.04848528,-0.00017715106,-0.00251678,0.00021990947
0.04598427,0.006307289,0.033957005,-0.00017715106,-0.0037385076,0.00021990947
0.008952141,0.0063046664,0.024216652,-0.002620612,-0.0037385076,-0.00039095618
-0.018499374,-0.0032698214,0.014469624,-0.0013988817,-0.0037385076,-0.00039095618
-0.016031265,-0.02477321,0.0035376549,-0.00078801636,-0.008014567,0.0014416389
0.012761116,-0.037838727,0.008191109,0.002877175,-0.00984716,0.0014416389
0.03316307,-0.026928931,0.017650604,0.0040989053,-0.008625433,0.00083077326
0.060720444,-0.038715214,0.000831604,0.0040989053,-0.004960239,-0.00039095618
0.06311321,-0.024154201,-0.00037193298,0.0040989053,-0.0043493733,0.0020525046
0.031982422,0.0023369193,0.0068159103,0.00043371413,0.0011484101,-0.0010018218
0.01162529,-0.0011243224,0.003232956,0.00043371413,0.0042027384,-0.0022235531
0.010437012,-0.014155373,0.02954197,0.0010445793,0.002981007,-0.0022235531
0.0008878708,-0.005654663,0.03187132,0.0010445793,0.0005375445,-0.00039095618
0.010511398,-0.012712181,0.038951397,-0.0013988817,-0.0031276457,0.0020525046
0.005785942,-0.007800445,0.037614346,-0.00078801636,-0.0043493733,0.00021990947
0.009454727,-0.0017085522,0.04103756,-0.00078801636,-0.006792836,0.00021990947
0.011916161,-0.013566762,0.009766579,0.0016554447,-0.008014567,0.005106831
0.032328606,0.011644557,0.029981136,0.0034880403,-0.008014567,0.0020525046
0.041959763,-0.0026516765,0.017893791,0.004709771,-0.0061819702,0.00083077326
0.040808678,0.009361118,0.02138853,0.0034880403,-0.008014567,-0.0034452826
0.039610863,-0.001412794,-0.018115997,0.0010445793,-0.0074037015,-0.006499609
0.024048805,-0.0073982924,-0.01691866,0.00043371413,-0.0074037015,-0.0077213384
0.020457268,-0.013383806,0.0070233345,0.0010445793,-0.011679757,-0.0071104746
0.026443481,-0.0073982924,0.011811733,-0.00078801636,-0.00984716,-0.004667014
0.025245667,-0.008595407,-0.0013566017,0.0016554447,-0.006792836,-0.004056148
0.018063545,0.002178505,0.016600132,0.0010445793,-0.0061819702,0.00021990947
0.026443481,0.005769804,0.02138853,0.0010445793,-0.0055711046,0.0038850997
0.028837204,0.009361118,0.033359528,-0.00017715106,-0.0019059144,0.0063285604
0.030034065,-0.0026098937,0.052513123,-0.00017715106,-0.00251678,0.0044959653
0.01572609,-0.018122807,0.05238962,-0.00078801636,-0.0043493733,0.0063285604
0.01819706,-0.01804769,0.0486331,0.0016554447,-0.0019059144,0.0044959653
0.0075101852,-0.0048073977,0.038870335,0.0016554447,-0.0019059144,0.0020525046
0.00880146,-0.00473696,0.03507614,0.0034880403,-0.0061819702,0.0014416389
0.011267662,0.0048883557,-0.002187252,-0.00078801636,-0.0061819702,0.0020525046
0.019705772,0.004922256,0.0048718452,-0.0013988817,-0.0092362985,0.0026633702
0.022145271,-0.002226442,0.005970955,-0.002620612,-0.0061819702,0.0026633702
0.030524254,-0.021380052,-0.006000042,-0.0013988817,-0.004960239,0.0026633702
0.042482376,-0.04160422,-0.027524471,0.00043371413,-0.0074037015,0.0014416389
0.04842186,-0.02349867,-0.027433872,-0.00017715106,-0.004960239,0.0014416389
0.045965195,0.0077376068,-0.014140129,-0.00017715106,-0.0031276457,0.0020525046
0.047096252,0.009013042,0.0015554428,-0.00078801636,0.0005375445,0.00083077326
0.03745365,-0.013639241,0.0040836334,-0.00017715106,-0.0019059144,0.0014416389
0.05535698,-0.03863193,0.030524254,0.0010445793,-0.0043493733,0.0014416389
0.062488556,-0.036049217,0.02224207,0.00043371413,-7.331744e-05,-0.0010018218
