xa,ya,za,xg,yg,zg
0.12963,-0.025807,0.034565,-0.0048519,-0.027145,0.0029485
0.23794,-0.012491,-0.08178,-0.0023664,-0.0018682,0.0047527
0.18404,0.00078706,-0.067115,-0.0017863,0.024754,0.0023708
0.043981,-0.012124,0.030445,0.00023116,0.035822,0.001332
-0.031524,-0.030291,0.051228,0.0013696,0.030166,0.0017754
-0.033382,-0.035899,-0.0041138,0.00050201,0.017255,0.00017624
-0.023616,-0.035534,-0.021144,-0.00069951,0.014374,-0.00078242
-0.013283,-0.024142,-0.026336,-0.0011403,0.019438,-0.00067196
-0.043303,-0.022814,-0.020667,-0.00097487,0.019661,-0.00033107
-0.046788,-0.011395,-0.019486,-0.001237,0.017674,-0.0026348
-0.0257,0.0027685,-0.038407,0.00015734,0.01669,-0.0036545
-0.040403,0.021804,-0.055204,0.0019751,0.01664,-0.0013396
-0.026298,0.040756,-0.046681,0.0017367,0.019025,1.4305e-05
-0.027783,0.031605,-0.032437,-0.0012771,0.019403,0.0020649
-0.035052,0.019973,-0.026716,-0.002454,0.021218,0.002586
-0.01275,-0.00080836,0.015764,-0.00072181,0.020473,0.0032812
-0.022461,-0.0099916,-0.001206,0.0013705,0.017811,0.0038189
-0.00082375,0.0093646,-0.006679,-0.0019516,0.01729,0.0028378
0.0092267,0.0008156,0.0045417,-0.0034443,0.017797,0.0024578
-0.001589,0.0079169,-0.026951,-0.00044777,0.019798,0.0025758
-0.003089,0.01249,-0.016544,0.00022471,0.02474,0.002544
0.0012806,-0.014369,-1.7361e-05,-3.0738e-05,0.026359,0.0026042
-0.014697,-0.0078254,0.026923,0.00020307,0.022377,0.0023468
-0.0064354,0.00066849,0.01755,-0.00088321,0.016542,0.003669
0.023089,-0.023047,0.011647,-0.00015247,0.014184,0.0017219
0.061148,-0.0075589,0.0069217,0.001101,0.015747,0.0021471
0.054697,0.0090102,0.032078,0.00026054,0.018977,0.003632
0.045248,0.028113,0.061571,-7.6172e-05,0.020606,0.002686
0.035187,0.023578,0.010866,0.0017924,0.019697,0.0023798
0.04865,0.0021729,0.00068127,0.0024404,0.019532,0.0035622
0.042134,0.0089942,0.019302,0.00019582,0.01944,0.0027192
0.02209,0.0085461,-0.00017834,6.0855e-06,0.021472,0.0015813
-0.015444,-0.011451,0.01017,-3.4775e-05,0.021836,0.0014186
-0.032317,-0.0099067,0.0032661,0.0010986,0.019531,0.0025635
-0.022844,-0.00031225,0.0044156,3.0518e-05,0.018463,0.0015106
-0.015195,0.01955,0.0088142,-0.0010376,0.014206,0.0015106
-0.0034111,-0.0011666,0.0066778,-0.0021057,0.01207,0.0015106
0.0030353,0.014941,-0.0037673,-0.0031738,0.016342,0.0025635
0.0098903,0.020386,0.011314,-0.0021057,0.01741,0.0015106
0.0017133,0.019908,-0.0048714,0.00094888,0.016282,0.0015647
-0.00082529,0.019307,-0.033509,0.00037768,0.018269,0.00043274
0.0098981,0.0094117,0.028295,-0.0010376,0.01741,0.0015106
-0.00038774,-0.0046855,-0.0091417,-0.0021057,0.01741,0.0004425
-0.013518,0.0030013,-0.035571,-0.0022373,0.018646,0.0016751
-0.0063747,0.0024163,0.012692,-0.0043718,0.019376,0.0025869
-0.0095323,-0.020562,0.011078,-0.0040873,0.017443,0.0025908
-0.020213,-0.0081563,-0.012377,-0.0018202,0.019674,0.0024288
-0.028542,-0.00066473,-0.019994,2.3488e-05,0.019502,0.0002584
-0.0058906,0.019654,-0.0024191,-0.0010654,0.019503,0.00074201
0.021796,-0.015632,-0.012667,0.00021051,0.019673,0.0036626
0.025478,-0.018935,0.0016121,0.0010302,0.022177,0.002617
-0.017982,-0.011374,0.0042324,-3.8482e-05,0.022516,0.003538
0.0096068,-0.016298,-0.0062578,7.2501e-05,0.019332,0.0014216
0.015257,-0.012512,0.010594,-6.9483e-05,0.021102,0.0013834
-0.013792,-0.0064581,0.016272,-0.0010287,0.024725,-0.0007284
-0.014606,0.0011508,0.017882,0.00040763,0.019706,-0.00066198
0.0041227,0.0034894,0.0081414,0.00085423,0.016741,-0.00027856
0.0033365,0.0080872,-0.0045739,-0.0014284,0.01397,0.0016626
0.0032474,0.0066538,0.0020693,-0.002093,0.0161,0.0016076
0.000749,0.016569,0.0081471,-0.002397,0.01828,0.0030577
-0.0074398,0.021582,-0.00057876,-0.0032075,0.015856,0.0034121
0.006674,0.020504,-0.0057231,-0.0034838,0.017127,0.0024531
0.0093789,0.026784,0.013481,-0.0045538,0.017403,0.0021477
0.05807,-0.011633,0.010981,-0.0025426,0.0094633,0.00066983
0.0067611,-0.012447,0.017407,0.00011199,0.01482,0.0025193
-0.041663,-0.015462,-0.007727,0.0022364,0.023137,0.0013782
-0.066059,0.0049993,-0.014428,0.00079665,0.022509,0.0011912
-0.068933,0.011785,-0.019308,-0.00074574,0.015002,0.00066058
-0.061314,-0.010481,0.039136,-0.0019641,0.0057691,0.0016825
-0.023879,-0.031467,0.16162,-0.001103,-0.020482,0.001519
0.082711,-0.017904,0.063017,-0.0030315,-0.051137,0.0012267
0.17692,-0.015932,-0.087807,-0.0046718,-0.032683,-0.00015196
0.29843,-0.0042606,-0.16473,-0.0060096,-0.0033731,-0.00038655
0.29809,0.027734,-0.15397,-0.0066456,0.0073037,0.001128
-0.14718,-0.024699,0.10623,-0.0032505,0.036627,0.00074707
-0.049278,-0.018213,0.044735,-0.0024368,0.007915,-0.0012307
-0.057263,-0.020777,-0.0082963,0.00053349,-0.0017333,-0.0027673
-0.023519,-0.012912,-0.039522,0.0028425,0.00031099,-0.0036529
-0.010637,-0.014621,-0.033016,0.0031766,0.0056669,-0.0018258
