xa,ya,za,oraa
0.22695923,3.532285,6.9431334,19:32:55.468
0.3322434,3.4959137,7.038966,19:32:55.481
0.47210395,3.449852,7.0341806,19:32:55.503
0.53718865,3.4431524,7.0523663,19:32:55.521
0.57750773,3.4287953,7.21125,19:32:55.544
0.64259255,3.4134812,7.3769526,19:32:55.565
0.5448457,3.4603806,7.2668834,19:32:55.583
0.48263237,3.4959137,7.153822,19:32:55.607
0.5161318,3.466123,6.9948187,19:32:55.622
0.47210395,3.5093136,6.6865034,19:32:55.643
0.42329037,3.5399418,6.7372313,19:32:55.665
0.7268199,3.4173098,5.1810594,19:32:55.682
0.08901301,4.045545,7.192107,19:32:55.704
0.39074793,3.4987855,7.4823565,19:32:55.722
0.08709874,3.5064423,8.345089,19:32:55.744
0.4989035,3.3053257,7.5885983,19:32:55.762
-0.12454642,3.9699323,6.72766,19:32:55.781
0.13316058,3.7965722,6.8263645,19:32:55.806
0.5017749,3.5006995,6.700861,19:32:55.832
0.435733,3.5303707,6.3244696,19:32:55.844
0.17718852,3.7563725,6.482516,19:32:55.867
0.07848458,3.8214574,6.594619,19:32:55.882
0.12837493,3.803272,6.6434326,19:32:55.901
0.23748766,3.7295732,6.856035,19:32:55.922
0.41946185,3.6681974,7.130851,19:32:55.941
0.50560343,3.635655,7.2007213,19:32:56.026
0.48358947,3.6165123,7.2908115,19:32:56.033
0.43381873,3.556213,7.105008,19:32:56.037
0.34767714,3.6184266,6.819664,19:32:56.041
0.26428726,3.6490548,6.7133036,19:32:56.044
0.15421742,3.73723,6.8732634,19:32:56.061
0.29970104,3.6576688,6.8512497,19:32:56.083
0.44339004,3.5973694,7.0734234,19:32:56.103
0.6234499,3.504528,7.1251087,19:32:56.122
0.5832505,3.541856,7.0676804,19:32:56.182
0.35246277,3.6538403,7.037052,19:32:56.186
0.25088745,3.712345,6.7247887,19:32:56.188
0.13890335,3.7592442,6.7037325,19:32:56.201
0.17718852,3.7046876,6.647261,19:32:56.224
0.27290142,3.6394835,6.685546,19:32:56.249
0.2757728,3.646183,6.9527054,19:32:56.264
0.368734,3.6155553,7.072466,19:32:56.284
0.40797627,3.5676987,7.165308,19:32:56.306
0.26715866,3.6404405,7.208378,19:32:56.326
0.27768707,3.5916266,7.080123,19:32:56.346
0.34289148,3.5408988,6.8091354,19:32:56.367
0.42711884,3.5198421,6.7563744,19:32:56.390
0.48454657,3.5083566,6.9460053,19:32:56.409
0.5621937,3.4737806,7.1327653,19:32:56.425
0.6550352,3.4307094,7.249655,19:32:56.444
0.5046463,3.5389848,7.2122073,19:32:56.471
0.31980073,3.6318262,6.982376,19:32:56.489
0.20398813,3.6174695,6.810093,19:32:56.509
0.11006985,3.6643686,6.7420177,19:32:56.527
0.08422736,3.688297,6.8962345,19:32:56.544
0.19537397,3.6040697,7.0063043,19:32:56.565
0.25471598,3.6117265,7.1155367,19:32:56.584
0.15517455,3.702654,7.1193647,19:32:56.606
0.06412765,3.7142591,7.0169525,19:32:56.624
0.059342004,3.6433117,6.8072214,19:32:56.650
0.0526421,3.6184266,6.8043504,19:32:56.669
0.20973092,3.58397,6.9929047,19:32:56.689
0.30544382,3.6107693,7.0906515,19:32:56.707
0.39170507,3.634698,7.2284784,19:32:56.727
0.49220362,3.592584,7.4362946,19:32:56.750
0.5410172,3.5006995,7.3290963,19:32:56.768
0.6282356,3.0687952,5.388876,19:32:56.789
0.09188439,3.9708893,6.9077206,19:32:56.808
0.19250259,3.870271,7.2812395,19:32:56.829
-0.107198454,3.9114277,7.473742,19:32:56.847
0.6148358,3.30054,7.467043,19:32:56.866
0.068913296,3.5954552,6.3772316,19:32:56.885
0.035413776,3.8913279,6.492087,19:32:56.910
0.67704916,3.4555945,6.5217576,19:32:56.928
0.80350983,3.3311682,6.589834,19:32:56.948
0.5679365,3.4689946,7.1231937,19:32:56.982
0.10624132,3.6586258,7.2668834,19:32:56.986
-0.2193022,3.7736008,7.259226,19:32:57.007
-0.085184485,3.6375692,7.149993,19:32:57.050
0.17240287,3.5600414,6.9948187,19:32:57.052
0.27960134,3.5485563,6.9957757,19:32:57.066
0.36777687,3.5198421,7.0753374,19:32:57.087
0.4615755,3.4536805,7.1126657,19:32:57.107
0.52953166,3.3914673,7.0676804,19:32:57.132
0.45296136,3.4383664,7.076295,19:32:57.147
0.3044867,3.4997425,7.1279793,19:32:57.167
0.14081761,3.5916266,6.9680195,19:32:57.187
-0.013399807,3.713302,6.93452,19:32:57.206
-0.044985063,3.7458444,6.956534,19:32:57.226
0.0,3.6911683,7.0188665,19:32:57.248
0.026799614,3.645226,6.965148,19:32:57.269
0.049770713,3.580141,6.866564,19:32:57.288
0.1867598,3.4920855,6.9737616,19:32:57.307
0.36681974,3.4756947,6.959405,19:32:57.327
0.3830909,3.5150566,7.074381,19:32:57.348
0.37447673,3.4911282,7.186364,19:32:57.368
0.38021952,3.488257,7.1394644,19:32:57.388
0.38213378,3.4728234,7.099265,19:32:57.411
0.33415768,3.4920855,7.0408807,19:32:57.429
0.25950164,3.5485563,6.957491,19:32:57.451
0.20973092,3.6011982,6.897192,19:32:57.469
0.2059024,3.5897126,6.8857064,19:32:57.493
0.203031,3.5877984,6.945048,19:32:57.513
0.20207389,3.5916266,6.9507914,19:32:57.531
0.19250259,3.6011982,6.9641905,19:32:57.551
0.18867406,3.578227,7.1251087,19:32:57.571
0.19250259,3.5743985,7.089694,19:32:57.592
0.23653053,3.57057,7.044709,19:32:57.613
0.26715866,3.5619557,7.041838,19:32:57.633
0.27385855,3.5370705,7.0226955,19:32:57.651
0.28917262,3.5236707,6.9775906,19:32:57.674
0.34480575,3.5016568,6.9469624,19:32:57.691
0.36777687,3.5093136,6.935477,19:32:57.711
0.34097722,3.5495133,6.956534,19:32:57.731
0.3073581,3.5667415,6.9766335,19:32:57.751
0.30352956,3.5533419,7.0514092,19:32:57.771
0.30831522,3.5437703,7.071509,19:32:57.792
0.30640095,3.5389848,7.064809,19:32:57.810
0.2786442,3.5447273,7.0284376,19:32:57.834
0.24323042,3.5485563,6.993861,19:32:57.852
0.22695923,3.58397,6.9163346,19:32:57.872
0.22025934,3.5954552,6.9364343,19:32:57.891
0.24418755,3.6174695,6.9507914,19:32:57.911
0.27098715,3.607898,6.966105,19:32:57.931
0.29970104,3.5877984,6.9546194,19:32:57.950
0.30831522,3.5523846,7.008219,19:32:57.974
0.32362926,3.5380278,7.023653,19:32:57.996
0.32937205,3.5188851,7.030352,19:32:58.016
0.32362926,3.5370705,7.030352,19:32:58.034
0.3245864,3.541856,7.013961,19:32:58.052
0.33810586,3.5380278,6.987162,19:32:58.076
0.31118658,3.5284562,6.9929047,19:32:58.099
0.25950164,3.5657845,6.978548,19:32:58.120
0.24323042,3.5514274,6.9814186,19:32:58.136
0.24035905,3.5648274,6.9584484,19:32:58.156
0.22408783,3.5753555,7.003433,19:32:58.176
0.03062813,3.8453858,5.1083174,19:32:58.197
1.1309676,2.467359,6.5361147,19:32:58.217
-0.13698909,4.1777487,7.6747394,19:32:58.236
-0.40797627,4.118287,8.617152,19:32:58.252
0.0076570325,3.440281,8.743494,19:32:58.330
0.41371906,2.931806,7.7820573,19:32:58.330
0.2556731,3.3924246,6.615676,19:32:58.332
-0.05742775,3.7755156,6.4308305,19:32:58.333
-0.08997013,3.832943,6.4959154,19:32:58.368
0.11688939,3.661497,6.427002,19:32:58.371
0.25375885,3.5763125,6.313941,19:32:58.395
0.23078775,3.5724843,6.6300335,19:32:58.414
0.20781666,3.5571702,7.059066,19:32:58.436
0.26620153,3.5542989,7.246783,19:32:58.462
0.36681974,3.4756947,7.2439117,19:32:58.471
0.40797627,3.426881,7.227521,19:32:58.493
0.3706482,3.4603806,7.1566935,19:32:58.516
0.33810586,3.5150566,7.1231937,19:32:58.534
0.34289148,3.5093136,7.037052,19:32:58.553
0.31980073,3.5064423,6.949834,19:32:58.575
0.24035905,3.532285,6.9211197,19:32:58.597
0.16857436,3.5944982,6.9163346,19:32:58.615
0.14081761,3.623212,6.982376,19:32:58.635
0.13316058,3.629912,6.951748,19:32:58.654
0.1637887,3.6088552,6.990033,19:32:58.674
0.2059024,3.5830128,7.029395,19:32:58.721
0.25280172,3.5533419,7.0063043,19:32:58.724
0.29012975,3.526542,7.0284376,19:32:58.736
0.32650065,3.5093136,7.0188665,19:32:58.754
0.33810586,3.502614,7.0475807,19:32:58.782
0.33032915,3.5064423,7.0820374,19:32:58.795
0.3178865,3.5428133,7.0533237,19:32:58.816
0.31405798,3.5648274,7.023653,19:32:58.837
0.31692937,3.5676987,6.996733,19:32:58.856
0.31692937,3.5485563,6.961319,19:32:58.876
0.29682964,3.5284562,6.951748,19:32:58.896
0.2757728,3.5361133,6.9192057,19:32:58.915
0.24418755,3.579184,6.915377,19:32:58.935
0.2231307,3.5954552,6.9527054,19:32:58.956
0.24610181,3.5897126,6.996733,19:32:58.980
0.2757728,3.5820556,7.0265236,19:32:59.001
0.27194428,3.5600414,7.0868225,19:32:59.015
0.28725836,3.5504704,7.111708,19:32:59.036
0.30831522,3.5255847,7.0963945,19:32:59.055
0.3073581,3.5284562,7.074381,19:32:59.076
0.2853441,3.5313277,7.037052,19:32:59.095
0.28151557,3.5456843,7.010133,19:32:59.116
0.29108685,3.5341992,6.98429,19:32:59.136
0.28917262,3.5466416,6.968977,19:32:59.158
0.27098715,3.547599,6.9766335,19:32:59.176
0.24993034,3.5514274,7.0053473,19:32:59.197
0.23078775,3.5447273,7.0110903,19:32:59.216
0.22408783,3.556213,7.076295,19:32:59.237
0.2231307,3.56387,7.068637,19:32:59.258
0.23653053,3.562913,7.0829945,19:32:59.275
0.22408783,3.56387,7.152865,19:32:59.298
0.2489732,3.5542989,7.1547794,19:32:59.316
0.29682964,3.5676987,7.111708,19:32:59.336
0.29778677,3.579184,7.1327653,19:32:59.357
0.34289148,3.6165123,7.078209,19:32:59.378
0.3505485,3.541856,7.061938,19:32:59.400
0.41946185,3.4834714,7.1729646,19:32:59.418
0.5103891,3.3512678,7.041838,19:32:59.440
0.5343173,3.382853,6.8598633,19:32:59.457
0.5046463,3.426881,6.8455067,19:32:59.477
0.47976094,3.4737806,6.893363,19:32:59.497
0.5803791,3.4997425,6.906763,19:32:59.517
